sentence_id,token,tag
sent_001,Cong,B-PARTY
sent_001,ty,I-PARTY
sent_001,A,I-PARTY
sent_001,ky,O
sent_001,hop,O
sent_001,dong,O
sent_001,voi,O
sent_001,cong,B-PARTY
sent_001,ty,I-PARTY
sent_001,B,I-PARTY
sent_001,ngay,O
sent_001,15/03/2024,B-DATE
sent_001,tri,O
sent_001,gia,O
sent_001,500,B-AMOUNT
sent_001,trieu,I-AMOUNT
sent_001,dong,I-AMOUNT
sent_002,Ben,O
sent_002,cho,O
sent_002,thue,O
sent_002,la,O
sent_002,Cong,B-PARTY
sent_002,ty,I-PARTY
sent_002,C,I-PARTY
sent_002,thoi,O
sent_002,han,O
sent_002,tu,O
sent_002,01/01/2025,B-DATE
sent_002,den,O
sent_002,31/12/2025,B-DATE
sent_003,Gia,O
sent_003,tri,O
sent_003,hop,O
sent_003,dong,O
sent_003,la,O
sent_003,1.2,B-AMOUNT
sent_003,ty,I-AMOUNT
sent_003,dong,I-AMOUNT
sent_003,thanh,O
sent_003,toan,O
sent_003,truoc,O
sent_003,ngay,O
sent_003,10/05/2024,B-DATE
sent_004,Cong,B-PARTY
sent_004,ty,I-PARTY
sent_004,A,I-PARTY
sent_004,ky,O
sent_004,hop,O
sent_004,dong,O
sent_004,voi,O
sent_004,cong,B-PARTY
sent_004,ty,I-PARTY
sent_004,B,I-PARTY
sent_004,ngay,O
sent_004,15/03/2024,B-DATE
sent_004,tri,O
sent_004,gia,O
sent_004,500,B-AMOUNT
sent_004,trieu,I-AMOUNT
sent_004,dong,I-AMOUNT
sent_005,Ben,O
sent_005,cho,O
sent_005,thue,O
sent_005,la,O
sent_005,Cong,B-PARTY
sent_005,ty,I-PARTY
sent_005,C,I-PARTY
sent_005,thoi,O
sent_005,han,O
sent_005,tu,O
sent_005,01/01/2025,B-DATE
sent_005,den,O
sent_005,31/12/2025,B-DATE
sent_006,Gia,O
sent_006,tri,O
sent_006,hop,O
sent_006,dong,O
sent_006,la,O
sent_006,1.2,B-AMOUNT
sent_006,ty,I-AMOUNT
sent_006,dong,I-AMOUNT
sent_006,thanh,O
sent_006,toan,O
sent_006,truoc,O
sent_006,ngay,O
sent_006,10/05/2024,B-DATE
sent_007,Cong,B-PARTY
sent_007,ty,I-PARTY
sent_007,A,I-PARTY
sent_007,ky,O
sent_007,hop,O
sent_007,dong,O
sent_007,voi,O
sent_007,cong,B-PARTY
sent_007,ty,I-PARTY
sent_007,B,I-PARTY
sent_007,ngay,O
sent_007,15/03/2024,B-DATE
sent_007,tri,O
sent_007,gia,O
sent_007,500,B-AMOUNT
sent_007,trieu,I-AMOUNT
sent_007,dong,I-AMOUNT
sent_008,Ben,O
sent_008,cho,O
sent_008,thue,O
sent_008,la,O
sent_008,Cong,B-PARTY
sent_008,ty,I-PARTY
sent_008,C,I-PARTY
sent_008,thoi,O
sent_008,han,O
sent_008,tu,O
sent_008,01/01/2025,B-DATE
sent_008,den,O
sent_008,31/12/2025,B-DATE
sent_009,Gia,O
sent_009,tri,O
sent_009,hop,O
sent_009,dong,O
sent_009,la,O
sent_009,1.2,B-AMOUNT
sent_009,ty,I-AMOUNT
sent_009,dong,I-AMOUNT
sent_009,thanh,O
sent_009,toan,O
sent_009,truoc,O
sent_009,ngay,O
sent_009,10/05/2024,B-DATE
sent_010,Cong,B-PARTY
sent_010,ty,I-PARTY
sent_010,A,I-PARTY
sent_010,ky,O
sent_010,hop,O
sent_010,dong,O
sent_010,voi,O
sent_010,cong,B-PARTY
sent_010,ty,I-PARTY
sent_010,B,I-PARTY
sent_010,ngay,O
sent_010,15/03/2024,B-DATE
sent_010,tri,O
sent_010,gia,O
sent_010,500,B-AMOUNT
sent_010,trieu,I-AMOUNT
sent_010,dong,I-AMOUNT
sent_011,Ben,O
sent_011,cho,O
sent_011,thue,O
sent_011,la,O
sent_011,Cong,B-PARTY
sent_011,ty,I-PARTY
sent_011,C,I-PARTY
sent_011,thoi,O
sent_011,han,O
sent_011,tu,O
sent_011,01/01/2025,B-DATE
sent_011,den,O
sent_011,31/12/2025,B-DATE
sent_012,Gia,O
sent_012,tri,O
sent_012,hop,O
sent_012,dong,O
sent_012,la,O
sent_012,1.2,B-AMOUNT
sent_012,ty,I-AMOUNT
sent_012,dong,I-AMOUNT
sent_012,thanh,O
sent_012,toan,O
sent_012,truoc,O
sent_012,ngay,O
sent_012,10/05/2024,B-DATE
sent_013,Cong,B-PARTY
sent_013,ty,I-PARTY
sent_013,A,I-PARTY
sent_013,ky,O
sent_013,hop,O
sent_013,dong,O
sent_013,voi,O
sent_013,cong,B-PARTY
sent_013,ty,I-PARTY
sent_013,B,I-PARTY
sent_013,ngay,O
sent_013,15/03/2024,B-DATE
sent_013,tri,O
sent_013,gia,O
sent_013,500,B-AMOUNT
sent_013,trieu,I-AMOUNT
sent_013,dong,I-AMOUNT
sent_014,Ben,O
sent_014,cho,O
sent_014,thue,O
sent_014,la,O
sent_014,Cong,B-PARTY
sent_014,ty,I-PARTY
sent_014,C,I-PARTY
sent_014,thoi,O
sent_014,han,O
sent_014,tu,O
sent_014,01/01/2025,B-DATE
sent_014,den,O
sent_014,31/12/2025,B-DATE
sent_015,Gia,O
sent_015,tri,O
sent_015,hop,O
sent_015,dong,O
sent_015,la,O
sent_015,1.2,B-AMOUNT
sent_015,ty,I-AMOUNT
sent_015,dong,I-AMOUNT
sent_015,thanh,O
sent_015,toan,O
sent_015,truoc,O
sent_015,ngay,O
sent_015,10/05/2024,B-DATE
sent_016,Cong,B-PARTY
sent_016,ty,I-PARTY
sent_016,A,I-PARTY
sent_016,ky,O
sent_016,hop,O
sent_016,dong,O
sent_016,voi,O
sent_016,cong,B-PARTY
sent_016,ty,I-PARTY
sent_016,B,I-PARTY
sent_016,ngay,O
sent_016,15/03/2024,B-DATE
sent_016,tri,O
sent_016,gia,O
sent_016,500,B-AMOUNT
sent_016,trieu,I-AMOUNT
sent_016,dong,I-AMOUNT
sent_017,Ben,O
sent_017,cho,O
sent_017,thue,O
sent_017,la,O
sent_017,Cong,B-PARTY
sent_017,ty,I-PARTY
sent_017,C,I-PARTY
sent_017,thoi,O
sent_017,han,O
sent_017,tu,O
sent_017,01/01/2025,B-DATE
sent_017,den,O
sent_017,31/12/2025,B-DATE
sent_018,Gia,O
sent_018,tri,O
sent_018,hop,O
sent_018,dong,O
sent_018,la,O
sent_018,1.2,B-AMOUNT
sent_018,ty,I-AMOUNT
sent_018,dong,I-AMOUNT
sent_018,thanh,O
sent_018,toan,O
sent_018,truoc,O
sent_018,ngay,O
sent_018,10/05/2024,B-DATE
sent_019,Cong,B-PARTY
sent_019,ty,I-PARTY
sent_019,A,I-PARTY
sent_019,ky,O
sent_019,hop,O
sent_019,dong,O
sent_019,voi,O
sent_019,cong,B-PARTY
