query_id,item_id,price,category_score,past_purchases,relevance
user_001,package_03,370477,0.148,0,1
user_001,package_10,467694,0.07,5,0
user_001,package_16,389496,0.622,9,3
user_002,package_09,112085,0.788,2,2
user_002,package_10,256547,0.817,5,3
user_002,package_03,297083,0.981,1,0
user_002,package_14,188764,0.484,5,3
user_003,package_16,440300,0.129,7,1
user_003,package_11,358562,0.083,2,3
user_003,package_05,453174,0.43,2,0
user_003,package_14,435877,0.202,6,2
user_004,package_16,261008,0.906,6,2
user_004,package_12,385661,0.017,3,1
user_004,package_01,121920,0.996,0,1
user_004,package_20,418841,0.055,6,1
user_004,package_04,65322,0.846,0,2
user_005,package_18,398613,0.025,1,0
user_005,package_07,427606,0.466,4,0
user_005,package_06,340222,0.196,7,3
user_006,package_03,62124,0.805,5,0
user_006,package_12,356394,0.018,0,1
user_006,package_18,181838,0.727,6,1
user_007,package_18,264667,0.978,2,1
user_007,package_05,473452,0.341,9,1
user_007,package_16,398259,0.747,3,3
user_008,package_02,160292,0.845,3,2
user_008,package_11,180362,0.661,5,3
user_008,package_19,361525,0.781,5,3
user_009,package_12,266540,0.895,7,0
user_009,package_04,391652,0.035,0,1
user_009,package_11,337918,0.999,1,0
user_009,package_03,114806,0.244,8,1
user_010,package_13,284610,0.611,0,1
user_010,package_16,154248,0.039,6,0
user_010,package_07,430267,0.637,5,0
user_010,package_01,196160,0.643,1,1
user_010,package_11,91351,0.315,1,3
user_011,package_11,302675,0.963,4,3
user_011,package_17,231387,0.067,7,2
user_011,package_03,412880,0.683,4,0
user_011,package_02,395574,0.049,4,1
user_012,package_13,405383,0.249,0,0
user_012,package_17,66033,0.498,3,2
user_012,package_10,178619,0.606,6,2
user_012,package_11,65207,0.623,2,1
user_012,package_16,210763,0.735,3,1
user_013,package_15,289402,0.518,6,1
user_013,package_12,165928,0.979,1,0
user_013,package_09,327511,0.549,3,2
user_014,package_09,402716,0.637,6,3
user_014,package_03,362872,0.299,7,1
user_014,package_12,340189,0.34,4,2
user_015,package_07,117147,0.745,6,2
user_015,package_04,301819,0.783,1,1
user_015,package_20,478862,0.063,5,1
user_016,package_18,273244,0.881,5,0
user_016,package_15,276916,0.371,8,3
user_016,package_20,90933,0.619,0,1
user_016,package_05,221223,0.852,4,3
user_017,package_04,287716,0.499,1,0
user_017,package_14,432927,0.862,5,1
user_017,package_12,127055,0.011,9,0
user_018,package_18,468304,0.419,1,0
user_018,package_03,143312,0.714,8,2
user_018,package_08,109533,0.255,2,0
user_018,package_01,440139,0.766,7,1
user_018,package_09,331577,0.737,4,1
user_019,package_14,82133,0.053,2,0
user_019,package_17,425544,0.739,3,2
user_019,package_05,324461,0.029,6,0
user_019,package_04,332304,0.875,4,0
user_019,package_02,461748,0.365,5,3
user_020,package_06,53832,0.575,1,3
user_020,package_16,88890,0.663,2,3
user_020,package_19,311280,0.448,9,3
user_020,package_08,102823,0.902,1,3
user_021,package_01,293751,0.721,2,0
user_021,package_11,196242,0.692,7,2
user_021,package_14,85764,0.968,4,3
user_021,package_05,124740,0.487,2,0
user_021,package_16,149626,0.489,9,2
user_022,package_10,229531,0.127,8,0
user_022,package_02,265109,0.583,3,0
user_022,package_04,283471,0.9,5,3
user_023,package_16,316143,0.4,3,2
user_023,package_18,68710,0.799,8,0
user_023,package_19,58750,0.466,0,1
user_023,package_17,373035,0.436,0,1
user_024,package_11,206464,0.416,8,2
user_024,package_09,403751,0.018,9,0
user_024,package_13,412835,0.226,5,0
user_024,package_03,80269,0.128,3,1
user_024,package_01,65159,0.564,3,2
user_025,package_07,223168,0.317,8,1
user_025,package_19,320854,0.554,0,1
user_025,package_04,330875,0.749,8,3
user_025,package_20,392861,0.656,3,1
user_025,package_13,248918,0.215,1,3
user_026,package_05,55307,0.199,0,3
user_026,package_12,235456,0.688,0,1
user_026,package_17,350552,0.761,5,2
user_026,package_20,81771,0.678,1,0
user_026,package_19,215100,0.722,2,0
user_027,package_03,64045,0.247,4,0
user_027,package_07,158395,0.122,8,3
user_027,package_06,488286,0.213,6,1
user_027,package_10,202179,0.308,5,3
user_027,package_08,220682,0.104,7,1
user_028,package_05,160152,0.679,2,2
user_028,package_01,447306,0.296,3,1
user_028,package_04,424710,0.792,7,2
user_028,package_03,326207,0.179,6,0
user_029,package_15,66204,0.421,7,3
user_029,package_01,109973,0.89,2,2
user_029,package_14,385924,0.682,5,0
user_030,package_05,369036,0.936,8,3
user_030,package_19,325738,0.372,3,1
user_030,package_12,467074,0.395,7,3
user_030,package_07,116911,0.451,0,0
